eps,eTiOT,eTAOT
0.005,0.4511278195488721,0.4486215538847117
0.01,0.4436090225563909,0.4385964912280701
0.015,0.4536340852130326,0.4411027568922306
0.02,0.4511278195488721,0.4486215538847117
0.025,0.4411027568922305,0.4586466165413534
0.03,0.4536340852130326,0.4411027568922305
0.035,0.4661654135338345,0.4285714285714285
0.04,0.4561403508771929,0.4235588972431077
0.045,0.4486215538847117,0.4285714285714285
0.05,0.443609022556391,0.4210526315789474
0.055,0.4385964912280702,0.4285714285714286
0.06,0.4310776942355888,0.4310776942355889
0.065,0.4285714285714285,0.4310776942355889
0.07,0.431077694235589,0.4360902255639098
0.075,0.431077694235589,0.4335839598997494
0.08,0.4285714285714286,0.4486215538847118
0.085,0.4335839598997494,0.4436090225563909
0.09,0.4360902255639098,0.4536340852130326
0.095,0.4360902255639097,0.4561403508771929
0.1,0.4335839598997494,0.4511278195488722
Final error,0.4675324675324676,0.4545454545454546
eps_final_error,0.065,0.05
eps_final_error_grid001,0.08,0.05
final_error_grid001,0.474025974025974,0.4545454545454546
